PATIENT_ID,BIRTH_DATE,DEATH_DATE,SSN,DRIVERS_LICENSE,PASSPORT,PREFIX,FIRST_NAME,LAST_NAME,SUFFIX,MAIDEN_NAME,MARITAL_STATUS,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
P025,1987-04-09,,999-65-7890,S65789012,,Mrs.,Michelle,Scott,,Davis,M,black,nonhispanic,F,Indianapolis IN,479 Elm Drive,Indianapolis,Indiana,Marion,46201,39.7684,-86.1581,55000.00,45000.00,69000
P026,1953-07-16,,999-76-8901,S76890123,,Mr.,George,Green,,,M,white,nonhispanic,M,Milwaukee WI,581 Spruce Street,Milwaukee,Wisconsin,Milwaukee,53201,43.0389,-87.9065,210000.75,172000.00,45000
P027,1980-01-04,,999-87-9012,S87901234,,Ms.,Laura,Adams,,,S,white,hispanic,F,Albuquerque NM,692 Walnut Lane,Albuquerque,New Mexico,Bernalillo,87101,35.0844,-106.6504,72000.00,58000.00,73000
P028,1965-09-23,,999-98-0123,S98012345,,Mr.,Kevin,Nelson,,,M,asian,nonhispanic,M,Omaha NE,703 Ash Court,Omaha,Nebraska,Douglas,68101,41.2565,-95.9345,165000.25,135000.00,56000
P029,1998-05-17,,999-09-1234,S09123456,,Ms.,Amanda,Baker,,,S,white,nonhispanic,F,Raleigh NC,814 Oak Way,Raleigh,North Carolina,Wake,27601,35.7796,-78.6382,22000.50,18000.00,52000
P030,1971-03-11,,999-20-2345,S20234567,,Mr.,Brian,Gonzalez,,,M,white,hispanic,M,Miami FL,925 Maple Street,Miami,Florida,Miami-Dade,33101,25.7617,-80.1918,128000.00,104000.00,67000
P031,1956-08-05,,999-31-3456,S31345678,,Mrs.,Kimberly,Carter,,Thompson,M,white,nonhispanic,F,Cleveland OH,136 Pine Court,Cleveland,Ohio,Cuyahoga,44101,41.4993,-81.6944,188000.75,154000.00,49000
P032,1984-12-29,,999-42-4567,S42456789,,Mr.,Jason,Mitchell,,,S,black,nonhispanic,M,Virginia Beach VA,247 Cedar Boulevard,Virginia Beach,Virginia,Virginia Beach City,23451,36.8529,-75.9780,48000.00,39000.00,71000
P033,1949-02-18,,999-53-5678,S53567890,,Mrs.,Dorothy,Perez,,Garcia,W,white,hispanic,F,Oakland CA,358 Birch Street,Oakland,California,Alameda,94601,37.8044,-122.2712,268000.25,218000.00,36000
P034,1973-06-14,,999-64-6789,S64678901,,Mr.,Jeffrey,Roberts,,,M,white,nonhispanic,M,Tulsa OK,469 Elm Avenue,Tulsa,Oklahoma,Tulsa,74101,36.1540,-95.9928,118000.50,96000.00,60000
P035,1991-10-07,,999-75-7890,S75789012,,Ms.,Stephanie,Turner,,,S,asian,nonhispanic,F,New Orleans LA,571 Spruce Road,New Orleans,Louisiana,Orleans,70112,29.9511,-90.0715,38000.00,31000.00,65000
P036,1962-04-22,,999-86-8901,S86890123,,Mr.,Gregory,Phillips,,,M,white,nonhispanic,M,Wichita KS,682 Walnut Drive,Wichita,Kansas,Sedgwick,67201,37.6872,-97.3301,152000.75,124000.00,53000
P037,1977-08-09,,999-97-9012,S97901234,,Mrs.,Rebecca,Campbell,,Wilson,M,black,nonhispanic,F,Arlington TX,793 Ash Lane,Arlington,Texas,Tarrant,76001,32.7357,-97.1081,95000.00,77000.00,63000
P038,1954-12-31,,999-08-0123,S08012345,,Mr.,Edward,Parker,,,M,white,nonhispanic,M,Bakersfield CA,804 Oak Drive,Bakersfield,California,Kern,93301,35.3733,-119.0187,195000.25,159000.00,47000
P039,1986-03-25,,999-19-1234,S19123456,,Ms.,Sharon,Evans,,,S,white,hispanic,F,Tampa FL,915 Maple Way,Tampa,Florida,Hillsborough,33602,27.9506,-82.4572,58000.50,47000.00,74000
P040,1969-07-18,,999-30-2345,S30234567,,Mr.,Ronald,Edwards,,,M,white,nonhispanic,M,Honolulu HI,126 Pine Boulevard,Honolulu,Hawaii,Honolulu,96802,21.3069,-157.8583,138000.00,112000.00,57000
P041,1943-11-26,,999-41-3456,S41345678,,Mrs.,Helen,Collins,,Anderson,W,white,nonhispanic,F,Aurora CO,237 Cedar Court,Aurora,Colorado,Arapahoe,80010,39.7294,-104.8319,275000.75,224000.00,34000
P042,1994-05-13,,999-52-4567,S52456789,,Mr.,Timothy,Stewart,,,S,asian,nonhispanic,M,Anaheim CA,348 Birch Avenue,Anaheim,California,Orange,92801,33.8366,-117.9143,30000.00,24000.00,82000
P043,1979-09-06,,999-63-5678,S63567890,,Ms.,Deborah,Sanchez,,,D,white,hispanic,F,Santa Ana CA,459 Elm Road,Santa Ana,California,Orange,92701,33.7455,-117.8677,85000.25,69000.00,66000
P044,1957-01-30,,999-74-6789,S74678901,,Mr.,Larry,Morris,,,M,black,nonhispanic,M,St. Petersburg FL,561 Spruce Lane,St. Petersburg,Florida,Pinellas,33701,27.7676,-82.6403,182000.50,148000.00,50000
P045,1981-05-24,,999-85-7890,S85789012,,Mrs.,Carolyn,Rogers,,Lee,M,white,nonhispanic,F,Pittsburgh PA,672 Walnut Street,Pittsburgh,Pennsylvania,Allegheny,15201,40.4406,-79.9959,68000.00,55000.00,70000
P046,1966-09-17,,999-96-8901,S96890123,,Mr.,Stephen,Reed,,,M,white,nonhispanic,M,Corpus Christi TX,783 Ash Way,Corpus Christi,Texas,Nueces,78401,27.8006,-97.3964,148000.75,121000.00,55000
P047,1989-01-11,,999-07-9012,S07901234,,Ms.,Janet,Cook,,,S,white,nonhispanic,F,Lexington KY,894 Oak Street,Lexington,Kentucky,Fayette,40502,38.0406,-84.5037,42000.00,34000.00,77000
P048,1951-04-04,,999-18-0123,S18012345,,Mr.,Raymond,Morgan,,,M,asian,nonhispanic,M,Anchorage AK,905 Maple Lane,Anchorage,Alaska,Anchorage,99501,61.2181,-149.9003,232000.25,189000.00,43000
P049,1974-08-28,,999-29-1234,S29123456,,Mrs.,Catherine,Bell,,Martinez,M,white,hispanic,F,Stockton CA,116 Pine Drive,Stockton,California,San Joaquin,95201,37.9577,-121.2908,105000.50,86000.00,62000
P050,1996-12-21,,999-40-2345,S40234567,,Mr.,Dennis,Murphy,,,S,white,nonhispanic,M,Newark NJ,227 Cedar Way,Newark,New Jersey,Essex,07101,40.7357,-74.1724,25000.00,20000.00,48000
